protein1 protein2 experimental database textmining combined_score
4932.Q0110 4932.YNL052W 193 0 0 193
4932.Q0110 4932.YHR024C 162 55 69 198
4932.Q0110 4932.YMR173W 162 0 125 235
4932.Q0110 4932.YJR007W 164 0 0 163
4932.Q0110 4932.Q0105 0 900 0 900
4932.Q0110 4932.YMR003W 152 0 116 218
4932.Q0110 4932.Q0275 388 0 0 388
4932.Q0110 4932.YLR092W 151 0 0 150
4932.Q0110 4932.Q0120 0 900 0 900
4932.Q0115 4932.YPR191W 503 353 218 726
4932.Q0115 4932.YKL192C 268 0 0 268
4932.Q0115 4932.YPR003C 151 0 0 150
4932.Q0115 4932.YGR183C 503 353 207 722
4932.Q0115 4932.YDR529C 502 353 280 747
4932.Q0115 4932.YMR244C-A 207 0 0 207
4932.Q0115 4932.YGR130C 162 0 125 235
4932.Q0115 4932.YGL187C 621 0 0 621
4932.Q0115 4932.Q0110 0 900 0 900
4932.Q0115 4932.YEL039C 85 0 203 239
4932.Q0115 4932.YMR224C 165 0 0 165
4932.Q0115 4932.YJR153W 162 0 125 235
4932.Q0115 4932.YER048W-A 413 0 268 551
4932.Q0115 4932.YPL215W 0 0 216 216
4932.Q0115 4932.YGR125W 151 0 0 150
4932.Q0115 4932.YGL226W 164 0 0 163
4932.Q0115 4932.YLR395C 383 0 0 382
4932.Q0115 4932.Q0045 170 0 166 278
4932.Q0115 4932.Q0250 388 0 277 538
4932.Q0115 4932.YMR014W 322 0 0 321
4932.Q0115 4932.YJL166W 467 332 204 691
4932.Q0115 4932.YJR104C 177 0 0 177
4932.Q0115 4932.YOR065W 502 941 286 977
4932.Q0115 4932.YGL191W 500 0 0 499
4932.Q0115 4932.YHR024C 162 55 69 198
4932.Q0115 4932.YMR173W 162 0 125 235
4932.Q0115 4932.YHR051W 402 0 0 402
4932.Q0115 4932.YNL052W 193 0 0 193
4932.Q0115 4932.Q0070 170 0 166 278
4932.Q0115 4932.Q0065 170 0 166 278
4932.Q0115 4932.YBR294W 151 0 0 150
4932.Q0115 4932.YIL111W 193 0 0 193
4932.Q0115 4932.YDR231C 292 0 0 292
4932.Q0115 4932.Q0120 0 900 0 900
4932.Q0115 4932.YLR092W 151 0 0 150
4932.Q0115 4932.Q0275 402 0 0 402
4932.Q0115 4932.YMR003W 152 0 116 218
4932.Q0115 4932.YJR007W 164 0 0 163
4932.Q0115 4932.Q0105 0 900 0 900
4932.Q0115 4932.YHR001W-A 188 0 0 188
4932.Q0115 4932.YKR016W 292 0 0 292
4932.Q0115 4932.YJR048W 85 0 203 239
4932.Q0115 4932.YDR051C 162 0 125 235
4932.Q0115 4932.YLR038C 500 0 0 499
4932.Q0115 4932.YLR163C 208 273 114 445
4932.Q0115 4932.YBL045C 208 273 114 445
4932.Q0115 4932.YLL041C 0 0 200 200
4932.Q0115 4932.YGL122C 292 0 0 292
4932.Q0115 4932.YEL024W 503 941 286 977
4932.Q0115 4932.Q0075 152 0 116 218
4932.Q0115 4932.YML043C 307 0 0 307
4932.Q0115 4932.YFL038C 276 0 0 276
4932.Q0120 4932.YLL041C 0 0 200 200
4932.Q0120 4932.YBL045C 208 273 114 445
4932.Q0120 4932.YLR038C 500 0 0 499
4932.Q0120 4932.YDR051C 162 0 125 235
4932.Q0120 4932.YLR163C 209 273 114 446
4932.Q0120 4932.YJR048W 85 0 254 288
4932.Q0120 4932.YHR001W-A 188 0 0 188
4932.Q0120 4932.YKR016W 292 0 0 292
4932.Q0120 4932.YML043C 307 0 0 307
4932.Q0120 4932.YFL038C 276 0 0 276
4932.Q0120 4932.Q0075 152 0 116 218
4932.Q0120 4932.YGL122C 292 0 0 292
4932.Q0120 4932.YEL024W 505 941 286 977
4932.Q0120 4932.YGR112W 292 0 0 292
4932.Q0120 4932.YDR231C 292 0 0 292
4932.Q0120 4932.YIL111W 193 0 0 193
4932.Q0120 4932.Q0070 170 0 166 278
4932.Q0120 4932.Q0065 170 0 166 278
4932.Q0120 4932.YBR294W 151 0 0 150
4932.Q0120 4932.YHR051W 402 0 0 402
4932.Q0120 4932.YNL052W 193 0 0 193
4932.Q0120 4932.YHR024C 162 55 69 198
4932.Q0120 4932.YMR173W 162 0 125 235
4932.Q0120 4932.YJR007W 164 0 0 163
4932.Q0120 4932.Q0105 0 900 0 900
4932.Q0120 4932.YLR382C 421 0 0 420
4932.Q0120 4932.YMR003W 152 0 116 218
4932.Q0120 4932.Q0275 402 0 0 402
4932.Q0120 4932.YLR092W 151 0 0 150
4932.Q0120 4932.YJR104C 177 0 0 177
4932.Q0120 4932.YJL166W 502 332 204 712
4932.Q0120 4932.Q0250 388 0 277 538
4932.Q0120 4932.YMR014W 322 0 0 321
4932.Q0120 4932.Q0115 0 900 0 900
4932.Q0120 4932.YGL191W 500 0 0 499
4932.Q0120 4932.YOR065W 502 941 286 977
4932.Q0120 4932.YDR529C 502 353 280 747
4932.Q0120 4932.YMR244C-A 207 0 0 207
4932.Q0120 4932.YPR003C 151 0 0 150
4932.Q0120 4932.YGR183C 503 353 207 722
4932.Q0120 4932.YKL192C 268 0 0 268
4932.Q0120 4932.YPR191W 503 353 218 726
4932.Q0120 4932.Q0045 170 0 166 278
4932.Q0120 4932.YGR125W 151 0 0 150
4932.Q0120 4932.YPL215W 0 0 216 216
4932.Q0120 4932.YLR395C 383 0 0 382
4932.Q0120 4932.YGL226W 164 0 0 163
4932.Q0120 4932.YJR153W 162 0 125 235
4932.Q0120 4932.YER048W-A 413 0 268 551
4932.Q0120 4932.YGL187C 621 0 0 621
4932.Q0120 4932.YEL039C 85 0 254 288
4932.Q0120 4932.YMR224C 165 0 0 165
4932.Q0120 4932.Q0110 0 900 0 900
4932.Q0120 4932.YGR130C 162 0 125 235
4932.Q0130 4932.YJR119C 169 325 143 477
4932.Q0130 4932.YLR295C 944 720 0 983
4932.Q0130 4932.YIR024C 292 0 0 292
4932.Q0130 4932.YOL027C 287 0 0 286
4932.Q0130 4932.YLR417W 197 0 0 197
4932.Q0130 4932.YOL077W-A 800 720 0 941
4932.Q0130 4932.YDR140W 197 0 0 197
4932.Q0130 4932.YGR033C 0 500 0 499
4932.Q0130 4932.YOR020W-A 0 540 0 540
4932.Q0130 4932.YLR008C 0 500 0 499
4932.Q0130 4932.YOR332W 400 438 268 731
4932.Q0130 4932.YKL016C 992 720 287 998
4932.Q0130 4932.YPR020W 825 720 0 948
4932.Q0130 4932.YEL051W 400 438 80 662
4932.Q0130 4932.YMR282C 0 0 265 265
4932.Q0130 4932.YHR051W 457 0 307 607
4932.Q0130 4932.YPL271W 964 720 65 989
4932.Q0130 4932.YJL104W 0 500 0 499
4932.Q0130 4932.YCL005W-A 0 720 0 720
4932.Q0130 4932.Q0080 900 720 533 985
4932.Q0130 4932.YBL099W 987 836 485 998
4932.Q0130 4932.YDR298C 964 836 314 995
4932.Q0130 4932.YGR020C 400 438 236 719
4932.Q0130 4932.YDL227C 207 360 186 550
4932.Q0130 4932.YHR039C-A 400 0 177 485
4932.Q0130 4932.YPL078C 987 720 155 996
4932.Q0130 4932.YOR065W 197 0 0 197
4932.Q0130 4932.YDL185W 207 360 186 550
4932.Q0130 4932.YDR377W 800 720 0 941
4932.Q0130 4932.YLR203C 457 0 0 457
4932.Q0130 4932.YIL022W 0 500 0 499
4932.Q0130 4932.YHR026W 0 720 0 720
4932.Q0130 4932.Q0085 992 836 540 999
